_STATUS,Position,Article Title,News Link,Source Image,When Posted,Writer,Article Thumb
UNCHANGED,1,UAE,https://news.google.com/articles/CBMiFWh0dHBzOi8vYWVjb20uY29tL2FlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://aecom.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",25 Mar 2020,,https://news.google.com/api/attachments/CC8iK0NnNHlWMHRGZUdwVWVGSXpSWFpLVFJDREFSaUNBeWdCTWdZQk1JcHJuUVk=-w200-h112-p-df-rw
UNCHANGED,2,AECOM warmly welcomes back Janus Rostock to lead U+P and Architecture in the Middle East & Africa,https://news.google.com/articles/CBMifWh0dHBzOi8vZGVzaWduLW1pZGRsZWVhc3QuY29tL2FlY29tLXdhcm1seS13ZWxjb21lcy1iYWNrLWphbnVzLXJvc3RvY2stdG8tbGVhZC11cC1hbmQtYXJjaGl0ZWN0dXJlLWluLXRoZS1taWRkbGUtZWFzdC1hZnJpY2Ev0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://design-middleeast.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",14 Dec,,https://news.google.com/api/attachments/CC8iK0NnNU5RM1p3Wm5GNVp6SnlOblZUVFJDM0FSaVRBaWdCTWdZNUk0UlNHUWs=-w200-h112-p-df-rw
UNCHANGED,3,AECOM appoints Adrian Lindon as ME rail director,https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LmNvbnN0cnVjdGlvbndlZWtvbmxpbmUuY29tL25ld3MvYWVjb20tYWRyaWFuLWxpbmRvbi1yZWdpb25hbC1kaXJlY3Rvci1yYWls0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://lh3.googleusercontent.com/seTEocCESouvbWL2NqJRqg7b-d2iLhZHqU7zjJsYBe5SB3oIuczF1cLZ4pFMtaAk4mBEW01y1n4=s0-h12-rw,21 Nov,,https://news.google.com/api/attachments/CC8iK0NnNWpZa1JZUkRFeE1tVmlOa1JrVFJEQ0FSaURBaWdCTWdhaFpwWXJLZ2c=-w200-h112-p-df-rw
